Hotel Name,Location (Island & specific area),Category,Price Range (€ per night),Star Rating,Key Features,Short Description,Detailed Description,Room Types Available,Amenities,Images
Hotel 30,Island 6,Mid-range,100–200,4,Example features,Short description for hotel 30.,Detailed description for hotel 30.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 31,Island 1,Mid-range,100–200,4,Example features,Short description for hotel 31.,Detailed description for hotel 31.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 32,Island 2,Mid-range,100–200,4,Example features,Short description for hotel 32.,Detailed description for hotel 32.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 33,Island 3,Mid-range,100–200,4,Example features,Short description for hotel 33.,Detailed description for hotel 33.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 34,Island 4,Mid-range,100–200,4,Example features,Short description for hotel 34.,Detailed description for hotel 34.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 35,Island 5,Mid-range,100–200,4,Example features,Short description for hotel 35.,Detailed description for hotel 35.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 36,Island 6,Mid-range,100–200,4,Example features,Short description for hotel 36.,Detailed description for hotel 36.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 37,Island 1,Mid-range,100–200,4,Example features,Short description for hotel 37.,Detailed description for hotel 37.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 38,Island 2,Mid-range,100–200,4,Example features,Short description for hotel 38.,Detailed description for hotel 38.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 39,Island 3,Mid-range,100–200,4,Example features,Short description for hotel 39.,Detailed description for hotel 39.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 40,Island 4,Mid-range,100–200,4,Example features,Short description for hotel 40.,Detailed description for hotel 40.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 41,Island 5,Mid-range,100–200,4,Example features,Short description for hotel 41.,Detailed description for hotel 41.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 42,Island 6,Mid-range,100–200,4,Example features,Short description for hotel 42.,Detailed description for hotel 42.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 43,Island 1,Mid-range,100–200,4,Example features,Short description for hotel 43.,Detailed description for hotel 43.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 44,Island 2,Mid-range,100–200,4,Example features,Short description for hotel 44.,Detailed description for hotel 44.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 45,Island 3,Mid-range,100–200,4,Example features,Short description for hotel 45.,Detailed description for hotel 45.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 46,Island 4,Mid-range,100–200,4,Example features,Short description for hotel 46.,Detailed description for hotel 46.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 47,Island 5,Mid-range,100–200,4,Example features,Short description for hotel 47.,Detailed description for hotel 47.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 48,Island 6,Mid-range,100–200,4,Example features,Short description for hotel 48.,Detailed description for hotel 48.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 49,Island 1,Mid-range,100–200,4,Example features,Short description for hotel 49.,Detailed description for hotel 49.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
Hotel 50,Island 2,Mid-range,100–200,4,Example features,Short description for hotel 50.,Detailed description for hotel 50.,"Standard, Deluxe","Wi-Fi, breakfast, pool",https://example.com
